grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, manhattan, 1.500000, 15Puzzle, "15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11 ", 54, 45, 3776454, 0.188090, 2.00779e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13 ", 57, 55, 55265, 0.003959, 1.39593e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14 ", 44, 45, 989369, 0.055274, 1.78994e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6 ", 56, 57, 53406471, 2.599426, 2.05455e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5 ", 64, 69, 333042, 0.027538, 1.20939e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4 ", 61, 61, 3275613, 0.165390, 1.98054e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11 ", 50, 45, 4660575, 0.230655, 2.02058e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11 ", 61, 61, 42287, 0.002143, 1.97326e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15 ", 46, 42, 152020, 0.007477, 2.03317e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7 ", 60, 51, 710026, 0.034464, 2.06020e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7 ", 57, 58, 23229, 0.001553, 1.49575e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2 ", 61, 64, 1301266, 0.068389, 1.90274e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0 ", 66, 60, 83656790, 4.110514, 2.03519e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15 ", 46, 48, 88219, 0.008252, 1.06906e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2 ", 59, 55, 253538, 0.017066, 1.48563e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8 ", 51, 46, 7348858, 0.364763, 2.01469e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15 ", 49, 52, 266691, 0.013278, 2.00852e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15 ", 54, 51, 1115383, 0.054480, 2.04733e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4 ", 67, 64, 7243845, 0.350854, 2.06463e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3 ", 54, 54, 749209, 0.037747, 1.98482e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12 ", 58, 57, 1713280, 0.089072, 1.92348e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4 ", 59, 61, 1934558, 0.097298, 1.98828e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2 ", 63, 67, 90034, 0.004591, 1.96110e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15 ", 52, 51, 591176, 0.030354, 1.94760e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1 ", 59, 55, 10273256, 0.520609, 1.97332e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3 ", 46, 48, 98024, 0.008754, 1.11976e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14 ", 56, 51, 186230, 0.014871, 1.25230e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10 ", 51, 52, 1952461, 0.099617, 1.95997e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15 ", 56, 57, 334497, 0.019641, 1.70305e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 ", 56, 51, 844406, 0.044998, 1.87654e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8 ", 61, 58, 851405, 0.045039, 1.89037e+07
