grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6 ", 70, 78, 181168, 0.026949, 6.72262e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5 ", 62, 66, 458028, 0.069401, 6.59973e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14 ", 54, 57, 18211, 0.002868, 6.34972e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11 ", 43, 43, 56087, 0.009229, 6.07726e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8 ", 55, 43, 7144960, 1.047238, 6.82267e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13 ", 57, 55, 74017, 0.013085, 5.65663e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0 ", 74, 72, 141992, 0.022996, 6.17464e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3 ", 61, 58, 835322, 0.124645, 6.70161e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5 ", 61, 64, 33594, 0.005287, 6.35408e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3 ", 60, 63, 36511, 0.005800, 6.29500e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15 ", 45, 49, 55066, 0.009129, 6.03199e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14 ", 49, 49, 57423, 0.008904, 6.44912e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1 ", 55, 49, 527819, 0.077374, 6.82166e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2 ", 63, 64, 2032947, 0.300680, 6.76116e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9 ", 50, 45, 493741, 0.087245, 5.65925e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9 ", 53, 46, 645951, 0.104166, 6.20117e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3 ", 59, 55, 1392811, 0.205935, 6.76335e+06
