grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3 ", 76, 84, 4688, 0.000803, 5.83811e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5 ", 77, 86, 19600, 0.003242, 6.04565e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1 ", 57, 66, 6087, 0.001586, 3.83796e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2 ", 79, 86, 2943, 0.000567, 5.19048e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14 ", 59, 66, 162923, 0.022858, 7.12761e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3 ", 65, 74, 5323, 0.000958, 5.55637e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9 ", 54, 60, 69066, 0.011852, 5.82737e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9 ", 61, 62, 313498, 0.045919, 6.82720e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11 ", 58, 64, 60115, 0.009864, 6.09438e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6 ", 72, 80, 101455, 0.015850, 6.40095e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14 ", 54, 64, 134282, 0.019908, 6.74513e+06
