grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, A*, manhattan, 15puzzle, "7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14 ", 47, 31, 3506738, 0.837425, 4.18752e+06
X, A*, manhattan, 15puzzle, "5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1 ", 51, 31, 18241640, 5.983251, 3.04878e+06
X, A*, manhattan, 15puzzle, "11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2 ", na, 41, na, na, na
X, A*, manhattan, 15puzzle, "6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3 ", 53, 37, 25642394, 7.241691, 3.54094e+06
X, A*, manhattan, 15puzzle, "7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9 ", 51, 31, 28788715, 7.875965, 3.65526e+06
X, A*, manhattan, 15puzzle, "7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9 ", 50, 28, 30284804, 8.322819, 3.63877e+06
X, A*, manhattan, 15puzzle, "5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14 ", 44, 30, 3319439, 0.851531, 3.89820e+06
X, A*, manhattan, 15puzzle, "15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11 ", 52, 30, 27582585, 7.552597, 3.65207e+06
X, A*, manhattan, 15puzzle, "12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6 ", na, 38, na, na, na
X, A*, manhattan, 15puzzle, "6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13 ", 49, 37, 964767, 0.225203, 4.28399e+06
X, A*, manhattan, 15puzzle, "14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5 ", 56, 46, 3125730, 0.805991, 3.87812e+06
X, A*, manhattan, 15puzzle, "14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11 ", 48, 30, 8800915, 2.183143, 4.03130e+06
X, A*, manhattan, 15puzzle, "3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11 ", 53, 41, 4471434, 1.146800, 3.89905e+06
X, A*, manhattan, 15puzzle, "0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7 ", 54, 34, 11290817, 2.867910, 3.93695e+06
X, A*, manhattan, 15puzzle, "15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4 ", na, 41, na, na, na
X, A*, manhattan, 15puzzle, "0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15 ", 42, 28, 350936, 0.073176, 4.79578e+06
X, A*, manhattan, 15puzzle, "13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7 ", 53, 39, 1962421, 0.456810, 4.29592e+06
X, A*, manhattan, 15puzzle, "11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2 ", 57, 43, 26144894, 7.220748, 3.62080e+06
X, A*, manhattan, 15puzzle, "12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8 ", 49, 31, 4458894, 1.105668, 4.03276e+06
X, A*, manhattan, 15puzzle, "14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0 ", na, 40, na, na, na
X, A*, manhattan, 15puzzle, "15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2 ", na, 37, na, na, na
X, A*, manhattan, 15puzzle, "6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15 ", 45, 35, 545008, 0.119179, 4.57302e+06
X, A*, manhattan, 15puzzle, "4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15 ", 44, 32, 731348, 0.160914, 4.54496e+06
X, A*, manhattan, 15puzzle, "9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15 ", 52, 34, 17954162, 4.514202, 3.97726e+06
X, A*, manhattan, 15puzzle, "5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3 ", 50, 36, 2129957, 0.508397, 4.18955e+06
X, A*, manhattan, 15puzzle, "11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12 ", 54, 38, 14560606, 3.770890, 3.86132e+06
X, A*, manhattan, 15puzzle, "15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4 ", na, 43, na, na, na
X, A*, manhattan, 15puzzle, "13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15 ", 46, 34, 2240058, 0.704321, 3.18045e+06
X, A*, manhattan, 15puzzle, "3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1 ", na, 37, na, na, na
X, A*, manhattan, 15puzzle, "9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4 ", na, 41, na, na, na
X, A*, manhattan, 15puzzle, "5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2 ", 53, 45, 423936, 0.100717, 4.20918e+06
X, A*, manhattan, 15puzzle, "1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10 ", 49, 35, 3784645, 0.942685, 4.01475e+06
X, A*, manhattan, 15puzzle, "4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14 ", 50, 34, 5334380, 1.335482, 3.99435e+06
X, A*, manhattan, 15puzzle, "9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3 ", 44, 32, 1315765, 0.404334, 3.25415e+06
X, A*, manhattan, 15puzzle, "7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8 ", 57, 39, 32168962, 8.656430, 3.71619e+06
X, A*, manhattan, 15puzzle, "0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 ", 54, 34, 34968178, 9.280811, 3.76779e+06
X, A*, manhattan, 15puzzle, "11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15 ", 54, 38, 15616119, 4.030046, 3.87492e+06
